,Document_ID,Token_ID,Token_Name,Count_for_Doc,TF_IDF_for_Doc,Token_Freq_per_Docs,IDF_for_Token
0,0,0,aa,6,0.004353407,0.001126972,1.15415068
1,0,1,aaa,1,0.000980467,0.000187829,1.559615788
9,0,9,aapa,4,0.004645286,0.000751315,1.84729786
10,0,10,aapa abc,4,0.004645286,0.000751315,1.84729786
11,0,11,ab,7,0.005078975,0.001314801,1.15415068
32,0,32,abbott,12,0.013935857,0.002253944,1.84729786
38,0,38,abc,17,0.016667944,0.003193088,1.559615788
39,0,39,abc acpm,4,0.004645286,0.000751315,1.84729786
42,0,42,abc heart,11,0.01557843,0.002066116,2.252762968
46,0,46,abdominal,6,0.005041116,0.001126972,1.336472237
47,0,47,abdominal aorta,2,0.001960935,0.000375657,1.559615788
48,0,48,abdominal aortic,3,0.002941402,0.000563486,1.559615788
56,0,56,abi,10,0.009804673,0.001878287,1.559615788
57,0,57,abi ankle,2,0.001960935,0.000375657,1.559615788
69,0,69,abi wa,1,0.001161321,0.000187829,1.84729786
71,0,71,ability,7,0.005078975,0.001314801,1.15415068
73,0,73,able,4,0.002902271,0.000751315,1.15415068
77,0,77,abnormality,5,0.003627839,0.000939144,1.15415068
78,0,78,aboyans,4,0.004645286,0.000751315,1.84729786
79,0,79,abpm,6,0.008497325,0.001126972,2.252762968
81,0,81,absolute,10,0.00840186,0.001878287,1.336472237
84,0,84,absolute risk,2,0.001680372,0.000375657,1.336472237
85,0,85,absorption,2,0.002322643,0.000375657,1.84729786
86,0,86,abstinence,6,0.008497325,0.001126972,2.252762968
87,0,87,abstinence rate,4,0.005664884,0.000751315,2.252762968
91,0,91,ac,24,0.017413628,0.004507889,1.15415068
93,0,93,academic,3,0.003483964,0.000563486,1.84729786
94,0,94,academy,2,0.001680372,0.000375657,1.336472237
95,0,95,academy pediatrics,1,0.001161321,0.000187829,1.84729786
96,0,96,acc,10,0.007255678,0.001878287,1.15415068
97,0,97,acc aha,4,0.002902271,0.000751315,1.15415068
98,0,98,acc guideline,3,0.003483964,0.000563486,1.84729786
99,0,99,accelerate,1,0.000980467,0.000187829,1.559615788
100,0,100,accelerated,4,0.004645286,0.000751315,1.84729786
101,0,101,accept,1,0.001161321,0.000187829,1.84729786
103,0,103,acceptance,3,0.003483964,0.000563486,1.84729786
104,0,104,accepted,1,0.000725568,0.000187829,1.15415068
105,0,105,access,12,0.010082232,0.002253944,1.336472237
106,0,106,access health,5,0.005806607,0.000939144,1.84729786
108,0,108,accident,1,0.000840186,0.000187829,1.336472237
109,0,109,accord,1,0.001161321,0.000187829,1.84729786
110,0,110,accord study,1,0.001161321,0.000187829,1.84729786
111,0,111,accordance,2,0.001960935,0.000375657,1.559615788
112,0,112,according american,1,0.001161321,0.000187829,1.84729786
113,0,113,according national,3,0.003483964,0.000563486,1.84729786
114,0,114,according population,1,0.000980467,0.000187829,1.559615788
115,0,115,according risk,4,0.004645286,0.000751315,1.84729786
116,0,116,account,5,0.003627839,0.000939144,1.15415068
117,0,117,accounted,1,0.000980467,0.000187829,1.559615788
118,0,118,accounting,1,0.000840186,0.000187829,1.336472237
120,0,120,accurate,1,0.000725568,0.000187829,1.15415068
121,0,121,ace,4,0.003360744,0.000751315,1.336472237
122,0,122,ace inhibitor,3,0.002941402,0.000563486,1.559615788
123,0,123,acei,4,0.005664884,0.000751315,2.252762968
124,0,124,acetylsalicylic,2,0.002322643,0.000375657,1.84729786
125,0,125,acetylsalicylic acid,2,0.002322643,0.000375657,1.84729786
126,0,126,achieve,4,0.003921869,0.000751315,1.559615788
127,0,127,achieved,10,0.009804673,0.001878287,1.559615788
128,0,128,achieving,2,0.001680372,0.000375657,1.336472237
129,0,129,achutti,4,0.005664884,0.000751315,2.252762968
130,0,130,aché,11,0.01557843,0.002066116,2.252762968
131,0,131,acid,63,0.052931718,0.011833208,1.336472237
132,0,132,acid cardiovascular,2,0.002322643,0.000375657,1.84729786
133,0,133,acid patient,3,0.003483964,0.000563486,1.84729786
134,0,134,acid tev,5,0.007081104,0.000939144,2.252762968
138,0,138,acpm,5,0.005806607,0.000939144,1.84729786
140,0,140,act,8,0.009290571,0.00150263,1.84729786
141,0,141,acta,2,0.001960935,0.000375657,1.559615788
143,0,143,acting,3,0.002941402,0.000563486,1.559615788
144,0,144,action,56,0.040631798,0.010518407,1.15415068
145,0,145,action aimed,4,0.005664884,0.000751315,2.252762968
147,0,147,action plan,10,0.014162209,0.001878287,2.252762968
149,0,149,activation,6,0.006967928,0.001126972,1.84729786
152,0,152,active individual,1,0.001161321,0.000187829,1.84729786
153,0,153,actively,3,0.003483964,0.000563486,1.84729786
154,0,154,activity associated,2,0.001960935,0.000375657,1.559615788
155,0,155,activity cardiovascular,3,0.002941402,0.000563486,1.559615788
156,0,156,activity exercise,6,0.005882804,0.001126972,1.559615788
157,0,157,activity guideline,2,0.002322643,0.000375657,1.84729786
158,0,158,activity health,7,0.009913546,0.001314801,2.252762968
159,0,159,activity level,3,0.003483964,0.000563486,1.84729786
161,0,161,activity minute,3,0.003483964,0.000563486,1.84729786
162,0,162,activity physical,9,0.008824206,0.001690458,1.559615788
163,0,163,activity recommended,2,0.001960935,0.000375657,1.559615788
164,0,164,activity risk,3,0.003483964,0.000563486,1.84729786
165,0,165,activity volume,1,0.001161321,0.000187829,1.84729786
166,0,166,activity week,3,0.003483964,0.000563486,1.84729786
167,0,167,actual,2,0.001451136,0.000375657,1.15415068
170,0,170,acute chronic,4,0.003921869,0.000751315,1.559615788
171,0,171,acute coronary,5,0.00420093,0.000939144,1.336472237
174,0,174,acute myocardial,11,0.009242046,0.002066116,1.336472237
176,0,176,acute rheumatic,8,0.011329767,0.00150263,2.252762968
178,0,178,ada,2,0.001960935,0.000375657,1.559615788
179,0,179,adam,3,0.002941402,0.000563486,1.559615788
180,0,180,adaptation,2,0.001680372,0.000375657,1.336472237
181,0,181,adapted,16,0.011609085,0.003005259,1.15415068
182,0,182,adapted updated,8,0.011329767,0.00150263,2.252762968
183,0,183,add,2,0.001680372,0.000375657,1.336472237
186,0,186,added sugar,4,0.005664884,0.000751315,2.252762968
188,0,188,addiction,12,0.013935857,0.002253944,1.84729786
189,0,189,adding,5,0.00420093,0.000939144,1.336472237
197,0,197,additional benefit,4,0.004645286,0.000751315,1.84729786
198,0,198,additional risk,2,0.001960935,0.000375657,1.559615788
204,0,204,additive,2,0.002322643,0.000375657,1.84729786
205,0,205,addressed,4,0.003360744,0.000751315,1.336472237
206,0,206,addressing,12,0.011765608,0.002253944,1.559615788
207,0,207,adequate,8,0.005804543,0.00150263,1.15415068
208,0,208,adequately,2,0.001451136,0.000375657,1.15415068
222,0,222,adjusted,9,0.00653011,0.001690458,1.15415068
226,0,226,adjusted risk,5,0.005806607,0.000939144,1.84729786
227,0,227,adjusting,5,0.004902337,0.000939144,1.559615788
228,0,228,adjustment,5,0.003627839,0.000939144,1.15415068
229,0,229,administered,4,0.003360744,0.000751315,1.336472237
230,0,230,administration fda,2,0.001960935,0.000375657,1.559615788
233,0,233,admission,2,0.001960935,0.000375657,1.559615788
234,0,234,adolesc,3,0.003483964,0.000563486,1.84729786
235,0,235,adolesc health,1,0.001161321,0.000187829,1.84729786
236,0,236,adolesc med,2,0.002322643,0.000375657,1.84729786
239,0,239,adolescence,29,0.03367832,0.005447032,1.84729786
241,0,241,adolescent,80,0.078437385,0.015026296,1.559615788
244,0,244,adolescent clin,1,0.001161321,0.000187829,1.84729786
246,0,246,adolescent following,1,0.001161321,0.000187829,1.84729786
251,0,251,adolescent pediatr,1,0.001161321,0.000187829,1.84729786
252,0,252,adolescent pediatrics,3,0.003483964,0.000563486,1.84729786
253,0,253,adolescent smoking,7,0.009913546,0.001314801,2.252762968
254,0,254,adolescent study,1,0.001161321,0.000187829,1.84729786
255,0,255,adolescent summary,2,0.002322643,0.000375657,1.84729786
256,0,256,adolescent systematic,1,0.001161321,0.000187829,1.84729786
257,0,257,adolescent year,4,0.004645286,0.000751315,1.84729786
258,0,258,adolescent young,1,0.001161321,0.000187829,1.84729786
259,0,259,adopted,3,0.002941402,0.000563486,1.559615788
260,0,260,adopting,4,0.003921869,0.000751315,1.559615788
261,0,261,adoption,4,0.005664884,0.000751315,2.252762968
262,0,262,adrenergic,1,0.001161321,0.000187829,1.84729786
263,0,263,adult age,1,0.000840186,0.000187829,1.336472237
264,0,264,adult aged,3,0.002520558,0.000563486,1.336472237
265,0,265,adult cardia,1,0.000840186,0.000187829,1.336472237
266,0,266,adult cardiovascular,1,0.000980467,0.000187829,1.559615788
267,0,267,adult child,2,0.002322643,0.000375657,1.84729786
271,0,271,adult free,1,0.001161321,0.000187829,1.84729786
272,0,272,adult health,3,0.002941402,0.000563486,1.559615788
277,0,277,adult population,2,0.001960935,0.000375657,1.559615788
278,0,278,adult study,1,0.000980467,0.000187829,1.559615788
279,0,279,adult systematic,4,0.003921869,0.000751315,1.559615788
282,0,282,adult year,2,0.001451136,0.000375657,1.15415068
283,0,283,adulthood,7,0.005881302,0.001314801,1.336472237
285,0,285,advance,5,0.00420093,0.000939144,1.336472237
286,0,286,advanced,4,0.002902271,0.000751315,1.15415068
288,0,288,adverse cardiovascular,3,0.002520558,0.000563486,1.336472237
289,0,289,adverse effect,6,0.005041116,0.001126972,1.336472237
290,0,290,adverse reaction,5,0.005806607,0.000939144,1.84729786
291,0,291,advertising,5,0.007081104,0.000939144,2.252762968
292,0,292,advice,1,0.000725568,0.000187829,1.15415068
293,0,293,advise,7,0.00812925,0.001314801,1.84729786
294,0,294,advised,2,0.001960935,0.000375657,1.559615788
295,0,295,advisory,2,0.001960935,0.000375657,1.559615788
297,0,297,ae,3,0.002176703,0.000563486,1.15415068
301,0,301,aerobic,23,0.019324278,0.00432006,1.336472237
302,0,302,aerobic exercise,5,0.004902337,0.000939144,1.559615788
303,0,303,aerobic fitness,5,0.005806607,0.000939144,1.84729786
