,0,1
0,kaiser permanente research,3.380410814792187e-08
1,permanente research affiliates,8.997119521557804e-08
2,research affiliates epc,9.226657175376735e-08
3,nontraditional risk factors,1.0075649697855014e-07
4,cardiovascular risk factors,1.5629749544913648e-07
5,permanente research affil,1.603841218396166e-07
6,prevent cardiovascular events,1.985604222029242e-07
7,cvd risk factors,2.8383389222828036e-07
8,coronary heart disease,2.9256407852662954e-07
9,cardiovascular disease risk,3.1854201912337994e-07
10,updated cardiovascular prevention,3.410083710749987e-07
11,cardiovascular prevention guideline,3.657367432219094e-07
12,affiliates epc table,4.065703447894007e-07
13,updated updated cardiovascular,4.880851089309903e-07
14,cvd risk assessment,5.377650847470996e-07
15,heart disease risk,6.625475949599852e-07
16,framingham heart study,7.255343721521632e-07
17,risk factors,7.563978182871405e-07
18,cardiovascular health study,7.578340213470801e-07
19,cvd risk score,7.846892635135835e-07
20,american heart association,7.974601765419936e-07
21,cardiovascular risk assessment,8.543905629728737e-07
22,studies nontraditional risk,8.968017275154791e-07
23,cvd risk,9.153926554266593e-07
24,risk prediction studies,9.471372531819555e-07
25,cardiovascular risk,1.0095266980535116e-06
26,affiliates epc appendix,1.0145513124784171e-06
27,cvd intermediate risk,1.1879775125112221e-06
28,included cac risk,1.2089731801890337e-06
29,permanente research,1.218369177168479e-06
30,risk factors collaboration,1.3030486657272177e-06
31,cardiovascular events table,1.3267813092144012e-06
32,risk score risk,1.3292598892761798e-06
33,disease risk factors,1.3658373707620626e-06
34,cardiovascular events,1.3762529621447502e-06
35,framingham risk score,1.403388768585829e-06
36,cvd event risk,1.417179757869546e-06
37,kaiser permanente,1.475174403926777e-06
38,arq bras cardiol,1.6292989288473918e-06
39,cardiovascular risk prediction,1.6625749942658408e-06
40,hard chd events,1.6904393495042288e-06
41,included abi risk,1.7494489890201703e-06
42,risk factors included,1.8229627386696205e-06
43,coronary artery disease,1.852350445900636e-06
44,risk factor assessment,1.938847982869618e-06
45,cardiovascular disease prevention,2.0189460304670834e-06
46,cac risk prediction,2.0642161467182695e-06
47,risk cvd event,2.1257696368043188e-06
48,composite cvd outcomes,2.166441938784764e-06
49,research affil iates,2.2130063424332673e-06
50,total cvd event,2.288823675509561e-06
51,nontraditional risk,2.340600838477732e-06
52,heart disease events,2.3546539926907364e-06
53,hard cvd event,2.3998222141004816e-06
54,hard cvd women,2.4144340508890303e-06
55,table risk score,2.4275880335844205e-06
56,acute cardiovascular events,2.5231096892367393e-06
57,cardiovascular disease,2.5574025208749894e-06
58,cvd risk asse,2.56648172249536e-06
